No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
601,WAPO,Wahana Pronatural Tbk.,22 Jun 2001,520.000.000,PENGEMBANGAN
602,WEGE,Wijaya Karya Bangunan Gedung T,30 Nov 2017,9.572.000.000,UTAMA
603,WEHA,WEHA Transportasi Indonesia Tb,31 Mei 2007,886.411.265,UTAMA
604,WICO,Wicaksana Overseas Internation,08 Ags 1994,1.268.950.977,PENGEMBANGAN
605,WIIM,Wismilak Inti Makmur Tbk.,18 Des 2012,2.099.873.760,UTAMA
606,WIKA,Wijaya Karya (Persero) Tbk.,29 Okt 2007,8.969.951.372,UTAMA
607,WINS,Wintermar Offshore Marine Tbk.,29 Nov 2010,4.238.011.640,UTAMA
608,WOMF,Wahana Ottomitra Multiartha Tb,13 Des 2004,3.481.481.480,UTAMA
609,WOOD,Integra Indocabinet Tbk.,21 Jun 2017,6.306.250.000,PENGEMBANGAN
610,WSBP,Waskita Beton Precast Tbk.,20 Sep 2016,26.361.157.534,PENGEMBANGAN
611,WSKT,Waskita Karya (Persero) Tbk.,19 Des 2012,13.573.951.000,UTAMA
612,WTON,Wijaya Karya Beton Tbk.,08 Apr 2014,8.715.466.600,UTAMA
613,YELO,Yelooo Integra Datanet Tbk.,29 Okt 2018,380.000.000,PENGEMBANGAN
614,YPAS,Yanaprima Hastapersada Tbk,05 Mar 2008,668.000.089,PENGEMBANGAN
615,YULE,Yulie Sekuritas Indonesia Tbk.,10 Des 2004,1.785.000.000,PENGEMBANGAN
616,ZBRA,Zebra Nusantara Tbk,01 Ags 1991,856.133.009,PENGEMBANGAN
617,ZINC,Kapuas Prima Coal Tbk.,16 Okt 2017,5.050.000.000,PENGEMBANGAN
618,ZONE,Mega Perintis Tbk.,12 Des 2018,797.000.000,PENGEMBANGAN
